Entidad,Tablas en Etendo (BD),Entidad API,Notas de mapeo,,,,,
Tarifa,"m_pricelist: cabecera (nombre, moneda, flags de tipo)
ov_tarifaventa: detalle precios de venta
ov_tarifacompra: detalle precios de compra","PricingPriceList
ov_tarifaventa (0 filas)
OV_TarifaCompra (0 filas)",m_pricelist es la lista de precios de Etendo y sí funciona en la API. Los descuentos de last minute y oferta se definen en las líneas del contrato (c_projectline).,,,,,
Oferta,"ov_offer: ofertas activas (tipo, descuento, vigencia)
ov_tipooferta: catálogo de tipos (last minute, novedad...)","ov_offer
ov_tipooferta",Tablas propias de Abahana confirmadas en BD y funcionando en la API.,,,,,
CONTRATO,,,,,,,,
Contrato,"c_project: cabecera (nombre, tipo, fechas, propietario, villa)
c_projectline: líneas anuales (tarifa, facturación, responsable, firmado)
ov_incidencias: incidencias asociadas al contrato
ov_incidencias_deta: detalle de cada incidencia","Project
ProjectLine (0 filas)
OV_Incidencias (0 filas)
OV_Incidencias_deta (0 filas)","En Etendo los contratos reutilizan las tablas de proyectos. Project funciona en la API; ProjectLine, OV_Incidencias y OV_Incidencias_deta dan 0 filas — revisar.",,,,,
PagosContrato,"ov_pagoscontrato: pagos del contrato al propietario
ov_vencimientos: vencimientos esperados
fin_payment_schedule: plan de pagos estándar de Etendo","ov_pagoscontrato (0 filas)
ov_vencimientos (0 filas)
FIN_Payment_Schedule",ov_vencimientos y ov_pagoscontrato son las tablas personalizadas de Abahana y dan 0 filas en la API. fin_payment_schedule sí funciona.,,,,,
RESERVA Y COMERCIAL,,,,,,,,
Reserva,"c_order: cabecera (localizador, fechas, estado, villa, cliente, pax)
c_orderline: líneas de producto de la reserva
obre_reservation: datos específicos del recurso reservado","Order
OrderLine
OBRE_Reservation","Abstracción de tres tablas en una entidad. Las tres funcionan en la API (Order, OrderLine, OBRE_Reservation).",,,,,
LineaReserva,"c_orderline: cantidad, precioUnitario, importe, descuento",OrderLine,Misma tabla física que LineaActuacion. Funciona en la API como OrderLine.,,,,,
PropuestaAlquiler,"c_order (tipo = propuesta): precio, fechas, estado
Copper CRM (sistema externo): seguimiento, motivo pérdida","Order
—",Requiere ingesta de dos fuentes distintas: Etendo (Order) para los datos de la propuesta y Copper CRM vía API REST para el seguimiento comercial.,,,,,
PlanFacturacion,"fin_payment_schedule: vencimientos esperados, pendiente, métodoPago
ov_vencimientos: versión personalizada de Abahana
fin_payment: cobros efectivos realizados","FIN_Payment_Schedule
ov_vencimientos (0 filas)
FIN_Payment",fin_payment_schedule y fin_payment funcionan en la API. ov_vencimientos da 0 filas — revisar.,,,,,
ACTUACIONES,,,,,,,,
Actuacion,"c_order (tipo = actuación): fechas, tipo ejecución, villa, proveedor
c_orderline: líneas de coste de la actuación","Order
OrderLine","Misma tabla que Reserva (c_order/Order) con tipo de documento diferente. Campos propios: factPropietario, movimientoSaldo, importePropietario.",,,,,
LineaActuacion,"c_orderline: cantidad, precioUnitario, importePropietario",OrderLine,Misma tabla física que LineaReserva vinculada a un c_order de tipo actuación.,,,,,
PRODUCTO,,,,,,,,
Producto,"m_product: catálogo unificado (alquiler, limpieza, energía, extras)
m_product_category: agrupación por tipo de producto","Product
ProductCategory",Un mismo producto puede aparecer en una LineaReserva (venta al cliente) y en una LineaActuacion (compra al proveedor) con precios distintos. Ambas funcionan en la API.,,,,,
ProductoProveedor,m_product_po: precio de compra por proveedor específico,ApprovedVendor (0 filas),En la API la entidad se llama ApprovedVendor (nombre distinto al de la BD). Da 0 filas en la prueba — revisar.,,,,,
TERCEROS,,,,,,,,
Tercero,"c_bpartner: tabla unificada con flags de rol
c_bpartner_location: dirección del tercero
ad_user: acceso al sistema si aplica","BusinessPartner
Location
ADUser","Un mismo registro puede tener varios flags activos a la vez: IsCustomer, IsVendor, IsEmployee, IsSalesRep, EM_Opxdes_Propietario, EM_Opxdes_Huesped. Las tres tablas funcionan en la API.",,,,,
Persona (extends Tercero),"c_bpartner: apellidos, fechaNacimiento, lugarNacimiento, nacionalidad",BusinessPartner,Subclase para personas físicas. Se distingue de Empresa por la presencia de campos de fecha de nacimiento y DNI.,,,,,
Empresa (extends Tercero),"c_bpartner: nombreComercial, nombreFiscal, NIF/CIF, representante legal",BusinessPartner,Subclase para personas jurídicas.,,,,,
Cliente (extends Persona/Empresa),c_bpartner: IsCustomer = true,BusinessPartner,No es tabla separada. c_bpartner con IsCustomer=true.,,,,,
Huésped (extends Persona),"c_bpartner: EM_Opxdes_Huesped = true
c_bpartner: EM_Ov_Dnihuesped (DNI para registro legal)","BusinessPartner
BusinessPartner",Puede coincidir con el cliente o ser una persona distinta. Puede haber múltiples huéspedes por reserva.,,,,,
Proveedor (extends Empresa),"c_bpartner: IsVendor = true
ov_jardineros: jardineros asignados a villas
ov_piscineros: piscineros asignados a villas","BusinessPartner
OV_Jardineros (0 filas)
Ov_Piscineros (0 filas)",ov_jardineros y ov_piscineros son tablas propias confirmadas en BD pero dan 0 filas en la API — revisar.,,,,,
Empleado (extends Persona),"c_bpartner: IsEmployee = true
ad_user: acceso al sistema Etendo","BusinessPartner
ADUser","Campos específicos: esJardinero (EM_Opxdes_Jardinero), esPiscinero (EM_Opxdes_Piscinero), esEquipoLimpieza. ADUser funciona en la API.",,,,,
Agencia (extends Empresa),"c_bpartner: IsSalesRep = true
c_bpartner: EM_Ovjch_Portal (indica si es OTA: Airbnb, Booking...)","BusinessPartner
BusinessPartner",La comisión de agencia se guarda en c_order (ImporteComisionAgencia) en cada reserva.,,,,,
Propietario (extends Persona/Empresa),"c_bpartner: EM_Opxdes_Propietario = true
ov_propietario: datos específicos del propietario
ov_villaprop: relación propietario-villa (muchos a muchos)","BusinessPartner
OV_Propietario
OV_Villaprop (0 filas)",ov_villaprop permite copropiedad (una villa con varios propietarios). Da 0 filas en la API — revisar. Los datos bancarios para liquidación mensual están en c_bpartner.,,,,,
ENUMERADOS,,,,,,,,
TipoEstadoReserva,ad_ref_list: lista de referencia del sistema,ADList (HTTP 401),"Valores: Petición, Propuesta, PreReserva, Reserva, Anulación. La entidad API correspondiente (ADList) devuelve HTTP 401 — falta permiso.",,,,,
TipoUnidad,c_uom: unidad de medida de Etendo,UOM,"Valores: porNoche, porEstancia, porPersona. En la API es UOM y funciona correctamente.",,,,,
TipoEjecucion,ad_ref_list: lista de referencia del sistema,ADList (HTTP 401),"Valores para tipo de actuación: limpieza, mantenimiento, incidencia, revisión calidad. Misma entidad ADList con HTTP 401.",,,,,
TipoEstadoOcupacion,"ad_ref_list: lista de referencia
ov_ocupacion: campo estado","ADList (HTTP 401)
OV_Ocupacion (0 filas)","Valores: bloqueado, libre, ocupado. Ambas fuentes dan problemas en la API (401 y 0 filas respectivamente).",,,,,
TipoTarifa,"m_pricelist: flags (esTarifaVenta, preciosDeVillas...)
ov_tarifaventa / ov_tarifacompra: tablas separadas por tipo","PricingPriceList
ov_tarifaventa (0 filas)",No es enum explícito en Etendo. m_pricelist funciona (PricingPriceList); las tarifas de venta/compra dan 0 filas.,,,,,
TipoEstancia,ov_salon / ov_cocina / ov_dormitorios / ov_banios,OV_Salon,No existe como enum. ov_cocina (OV_Cocinas) da 0 filas; el resto funcionan correctamente.,,,,,
TipoTercero,c_bpartner: flags booleanos independientes,BusinessPartner,"No es enum sino flags: IsCustomer, IsVendor, IsEmployee, IsSalesRep, EM_Opxdes_Propietario, EM_Opxdes_Huesped. Una persona puede tener varios activos.",,,,,
TipoProducto,m_product_category: categoría de producto,ProductCategory,"Distingue entre artículo, servicio, recurso, alquiler vacacional. ProductCategory funciona en la API.",,,,,
